,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Category
0,Fort Stanton,38.85565773,-76.98034771,Anacostia Community Museum,4b4cd6d6f964a52015c126e3,38.85672843484337,-76.97689924873403,Museum
1,Fort Stanton,38.85565773,-76.98034771,Fort Stanton Recreation Center,56d8c6becd108d4b2da55ea1,38.857118,-76.97881600000001,Recreation Center
2,Fort Stanton,38.85565773,-76.98034771,Fort Stanton Park,4cd170596200b1f73dd8d928,38.85754096203132,-76.97826599027789,Park
3,Fort Stanton,38.85565773,-76.98034771,Stanton Road SE & Suitland Parkway SE,4e2def58b0fbdc2b64f27692,38.853278,-76.983289,Intersection
4,Congress Heights,38.84107731,-76.99794993,MLK Deli,4ca26b675720b1f7bf0229ef,38.84356,-76.999808,Deli / Bodega
5,Congress Heights,38.84107731,-76.99794993,Malcolm X and MLK,4eac3c96722efacf281f7190,38.84314386324706,-76.99874412568812,Road
6,Congress Heights,38.84107731,-76.99794993,Alabama and MLK Ave SE,53413a35498ec1404d75a559,38.843196043404184,-76.9987740590992,Intersection
7,Congress Heights,38.84107731,-76.99794993,Popeyes Louisiana Kitchen,4c8185892f1c236a51d93043,38.84486018839271,-76.9971092915508,Fried Chicken Joint
8,Congress Heights,38.84107731,-76.99794993,Alberta's Kitchen Domain,4f4d6e4be4b0f0c700f0fe60,38.83923568133621,-76.99470670170291,American Restaurant
9,Congress Heights,38.84107731,-76.99794993,Capital City Creamery,5644c61f498e8b523c11c3f2,38.844296,-76.998362,Ice Cream Shop
10,Congress Heights,38.84107731,-76.99794993,Holiday Market,59ee5284646e382c03474276,38.839218,-76.993997,Convenience Store
11,Congress Heights,38.84107731,-76.99794993,Holiday Liquors,4d8e5258c1b1721eacd42d46,38.839218,-76.993997,Liquor Store
12,Congress Heights,38.84107731,-76.99794993,Southeast Tennis Center,4af59251f964a520eef921e3,38.83854506377792,-76.99459510348079,Tennis Court
13,Congress Heights,38.84107731,-76.99794993,Mart Liquors Mjc,4f32162b19836c91c7b46c42,38.845341,-76.997656,Liquor Store
14,Congress Heights,38.84107731,-76.99794993,Mart  Liquor,4cafb60daef16dcb22dcaa54,38.845341,-76.997656,Liquor Store
15,Washington Highlands,38.83023741,-76.99563621,Ferebee Hope Recreation Center,4cb015dfaef16dcbf423ae54,38.832526,-76.995676,Basketball Court
16,Washington Highlands,38.83023741,-76.99563621,Chesapeake Big Market,4b8e9245f964a520602933e3,38.828941345214844,-76.99820709228516,Grocery Store
17,Washington Highlands,38.83023741,-76.99563621,Earls Super Liquors,4dd80e3452b1a5c6445ca7e7,38.82922606998965,-76.99028101069088,Liquor Store
18,Washington Highlands,38.83023741,-76.99563621,Joy's Kitchen,4e02300bb0fbdf39a459bcb2,38.828071,-76.990847,Seafood Restaurant
19,Washington Highlands,38.83023741,-76.99563621,Lucky's Carry Out,4d581beb1901224b25c486a6,38.828071,-76.990847,Asian Restaurant
20,Washington Highlands,38.83023741,-76.99563621,Tiger Market-IGA,4e353e2dd22d86185a69c80a,38.828071,-76.990847,Grocery Store
21,Bellevue,38.82695245,-77.00927076,Domino's Pizza,4d41f04baed776ebda516997,38.830851,-77.008078,Pizza Place
22,Bellevue,38.82695245,-77.00927076,baldeagle,50cca63de4b05e3ef683ab5c,38.8281135559082,-77.01261138916016,Basketball Court
23,Bellevue,38.82695245,-77.00927076,Fort Greble Recreation Center,4f26fd4e6d863d628efc9594,38.8277452053037,-77.01303899288177,Playground
24,Bellevue,38.82695245,-77.00927076,attorney ruffin,547dd595498ed2044efc3b56,38.824638,-77.012143,Lawyer
25,Bellevue,38.82695245,-77.00927076,Evan's Shoe Repair,4c8ffd1704a1b60c26aea33e,38.82973666419669,-77.00601236747275,Shoe Repair
26,Bellevue,38.82695245,-77.00927076,Eddies,4e16291aae60de5d28f02c38,38.830711364746094,-77.00800323486328,Chinese Restaurant
27,Bellevue,38.82695245,-77.00927076,Ft. Gruble Baseball Field,4f5e6300e4b051857bf47e05,38.828179,-77.014346,Baseball Field
28,Knox Hill/Buena Vista,38.85368806,-76.96766003,LAX Wine & Spirits,522d13c611d2ac0fde628c7c,38.85345892938318,-76.96480210800982,Liquor Store
29,Knox Hill/Buena Vista,38.85368806,-76.96766003,7-Eleven,551f3e97498e1d3a864247d5,38.8533793,-76.964981,Convenience Store
30,Knox Hill/Buena Vista,38.85368806,-76.96766003,Raymond Liquors,4e41c3c4b61ca5ba3b1ebcd7,38.853312,-76.96494100000001,Liquor Store
31,Knox Hill/Buena Vista,38.85368806,-76.96766003,G&M Variety Store,4eda56064901c8be1d776bbb,38.854823325752434,-76.96496708586024,Convenience Store
32,Shipley,38.84686013,-76.97290234,THEARC,4be4d99d910020a18e62d214,38.84352022518575,-76.97537207016151,Performing Arts Venue
33,Shipley,38.84686013,-76.97290234,Shipley Liquors,4f323b1919836c91c7c30ed6,38.847601,-76.971422,Liquor Store
34,Shipley,38.84686013,-76.97290234,Alabama Convenience,4dc6c157c65b89d3ca8f099d,38.849808546196755,-76.9722131559453,Convenience Store
35,Shipley,38.84686013,-76.97290234,Washington School Of Ballet @ The Arc,4d06c0332f96f04d12732954,38.84354065021512,-76.9756538723684,Dance Studio
36,Shipley,38.84686013,-76.97290234,Dollar Plus and Groceries,4e07a32345ddb2875c4c2282,38.850471999999996,-76.975059,Convenience Store
37,Shipley,38.84686013,-76.97290234,Eddie Leonard's Laundromat & Carry Out,4cb7284564998cfa02091ba2,38.85064907903695,-76.97503863988854,Chinese Restaurant
38,Shipley,38.84686013,-76.97290234,Downtown Chicken,4d87defd76e1236ac35de642,38.850802295838605,-76.97474450962422,Wings Joint
39,Douglass,38.84757145,-76.97964457,IHOP,4bfb0214d2b720a13871326a,38.84605402301629,-76.98268107241756,Breakfast Spot
40,Douglass,38.84757145,-76.97964457,Wells Fargo,4e0f4062b0fb59de67de6361,38.8461546,-76.9813,Bank
41,Douglass,38.84757145,-76.97964457,Redbox,4e31c42f2fb6ede816e34fb1,38.84498596191406,-76.98117065429688,Video Store
42,Douglass,38.84757145,-76.97964457,Subway,4c5aea0f67ac0f474dd9074c,38.84624006784756,-76.98092034028616,Sandwich Place
43,Douglass,38.84757145,-76.97964457,PNC Bank,4e2486b218a88345f06b9bee,38.84489946607198,-76.9809736995328,Bank
44,Douglass,38.84757145,-76.97964457,Perfect Nails,4cf9747034c1a09382203a0e,38.846301000000004,-76.980746,Spa
45,Douglass,38.84757145,-76.97964457,Dots Fashion,4be5eaa02457a5932537ac15,38.846075,-76.981189,Women's Store
46,Douglass,38.84757145,-76.97964457,Frye Consulting Group,5c1bfeb367e5f2002c27a793,38.849406,-76.981288,Business Service
47,Woodland,38.85655424,-76.97392561,Anacostia Community Museum,4b4cd6d6f964a52015c126e3,38.85672843484337,-76.97689924873403,Museum
48,Woodland,38.85655424,-76.97392561,Anacostia Art Gallery & Boutique,4c842d686e8c952165126b64,38.856265,-76.97528100000001,Art Gallery
49,Woodland,38.85655424,-76.97392561,Fort Stanton Park,4cd170596200b1f73dd8d928,38.85754096203132,-76.97826599027789,Park
50,Woodland,38.85655424,-76.97392561,Fort Stanton Recreation Center,56d8c6becd108d4b2da55ea1,38.857118,-76.97881600000001,Recreation Center
51,Garfield Heights,38.85408512,-76.97221327,Anacostia Art Gallery & Boutique,4c842d686e8c952165126b64,38.856265,-76.97528100000001,Art Gallery
52,Garfield Heights,38.85408512,-76.97221327,Downtown Chicken,4d87defd76e1236ac35de642,38.850802295838605,-76.97474450962422,Wings Joint
53,Garfield Heights,38.85408512,-76.97221327,Dollar Plus and Groceries,4e07a32345ddb2875c4c2282,38.850471999999996,-76.975059,Convenience Store
54,Garfield Heights,38.85408512,-76.97221327,Douglass Community Recreation Center,4f7b233de4b0ec7f4be89596,38.85221816228786,-76.97741094363015,Park
55,Near Southeast,38.87838447,-77.00062711,Cornercopia,4ae04a3cf964a5207d7e21e3,38.87833887482248,-77.00209968853517,Deli / Bodega
56,Near Southeast,38.87838447,-77.00062711,Canal Park,4bdc3fd03904a59350574d9e,38.87790431703141,-77.00325965881348,Park
57,Near Southeast,38.87838447,-77.00062711,Harris Teeter,543840da498e299b6026aff7,38.87619929880294,-77.00039585450284,Supermarket
58,Near Southeast,38.87838447,-77.00062711,Wiseguy Pizza,5bb39415178a2a002c4581d9,38.87701177301418,-77.00323151034354,Pizza Place
59,Near Southeast,38.87838447,-77.00062711,Bluejacket Brewery,5207aa8111d28afd3b21cf3f,38.87516890554908,-77.00077325105667,Brewery
60,Near Southeast,38.87838447,-77.00062711,Lot 38 Espresso Bar,4ec311d246903b51c3c7f3e8,38.877688,-77.003767,Coffee Shop
61,Near Southeast,38.87838447,-77.00062711,VIDA Fitness,5422e6af498e9e064d434ef0,38.87498972308532,-77.0002377005753,Gym / Fitness Center
62,Near Southeast,38.87838447,-77.00062711,Penthouse Pool and Lounge,554431e6498e731178a75e67,38.875249425907654,-77.00018637045478,Pool
63,Near Southeast,38.87838447,-77.00062711,sweetgreen,539fa767498e35589fca754f,38.8751,-77.0003223,Salad Place
64,Near Southeast,38.87838447,-77.00062711,Bethesda Bagels,5932a800340a587e436637a1,38.87657647622877,-77.00488503296945,Bagel Shop
65,Near Southeast,38.87838447,-77.00062711,Whole Foods Market,5bc790c5835c9a002cf891d7,38.880480355234496,-77.00479531725239,Grocery Store
66,Near Southeast,38.87838447,-77.00062711,Nando's Peri-Peri,520a756911d20ef0a74a329b,38.875113778629824,-77.00117290019988,Portuguese Restaurant
67,Near Southeast,38.87838447,-77.00062711,Slipstream,5928a27f9ec3990ab126e59d,38.87938451278179,-77.00540301120128,Café
68,Near Southeast,38.87838447,-77.00062711,Biker Barre,4fabc2740039cb4d16e4e7e8,38.88006807877894,-76.99596446761717,Gym / Fitness Center
69,Near Southeast,38.87838447,-77.00062711,TaKorean,53ecf267498eded9dcece192,38.87528166504957,-77.00019121170044,Taco Place
70,Near Southeast,38.87838447,-77.00062711,Philz Coffee,5735edc5498e8df1c9506233,38.87431363224861,-77.00088027361069,Coffee Shop
71,Near Southeast,38.87838447,-77.00062711,Five Guys,49e87473f964a5204d651fe3,38.8773244,-77.0036979,Burger Joint
72,Near Southeast,38.87838447,-77.00062711,District Doughnut,53b053d8498ef536313c9dec,38.87962485779243,-76.99521839618683,Donut Shop
73,Near Southeast,38.87838447,-77.00062711,Steadfast Supply,58011b6938facdba581a6fa4,38.874331,-77.000912,Clothing Store
74,Near Southeast,38.87838447,-77.00062711,The Juice Laundry,59a02a8975eee445406e0c72,38.8743105,-77.0009366,Juice Bar
75,Near Southeast,38.87838447,-77.00062711,Harry's Reserve Fine Wine & Spirits,4d9658037cfc1456bd752df6,38.87921484804848,-77.00542780047218,Liquor Store
76,Near Southeast,38.87838447,-77.00062711,The Brig,576478a8498ea13a28488ea0,38.877754,-76.995258,Beer Garden
77,Near Southeast,38.87838447,-77.00062711,Garfield Park,4bc21dbab492d13ae2fca660,38.88154580068334,-77.00441837310791,Park
78,Near Southeast,38.87838447,-77.00062711,Potbelly Sandwich Shop,4f44ef51d5fb7b1c19bb8d18,38.87473085401066,-77.0017649067459,Sandwich Place
79,Near Southeast,38.87838447,-77.00062711,Food Truck Stand @ Navy Yard,4f05dcea9adf79d873a50d8d,38.877288510944354,-77.00609672749714,Food Truck
80,Near Southeast,38.87838447,-77.00062711,Sushi Hachi,59e2aa4dc4df1d667eacb19d,38.880041,-76.995334,Sushi Restaurant
81,Near Southeast,38.87838447,-77.00062711,Torai,5a4674b0c4df1d5eb238418e,38.879573,-76.995216,Sushi Restaurant
82,Near Southeast,38.87838447,-77.00062711,Headbangers Boxing Gym,4e92152fc2eebfc9d6c68475,38.877268,-76.998391,Gym / Fitness Center
83,Near Southeast,38.87838447,-77.00062711,Washington Navy Yard Navy Exchange (NEX),4eeb9132a69dd7c5b50fd9fb,38.87507444038564,-76.9971092433972,Convenience Store
84,Near Southeast,38.87838447,-77.00062711,District Donut,5393336b498e1437ff5510b7,38.87963104248047,-76.99527740478516,Donut Shop
85,Near Southeast,38.87838447,-77.00062711,Capital Bikeshare - Barracks Row,4c9d4c1d46978cfa7b76967f,38.87943628021543,-76.9951238083635,Bike Rental / Bike Share
86,Near Southeast,38.87838447,-77.00062711,7th & L Street Market,4c0172c258dbc928c460ee6b,38.877242131018086,-76.99508443680256,Convenience Store
