,Neighborhood,Total Venues,E-scores,Borough,Latitude,Longitude,TotalCrimes,KM Cluster Labels,DBSCAN_Labels
0,Allerton,28,3.0351414327923703,Bronx,40.86578788,-73.85931863,211,0,0
1,Annadale,12,2.2102535776209735,Staten Island,40.53811417,-74.17854866,12,0,0
2,Arden Heights,5,1.6094379124341005,Staten Island,40.54928582,-74.18588675,19,0,0
3,Arlington,5,1.6094379124341005,Staten Island,40.6353251,-74.1651042,120,1,0
4,Arrochar,19,2.6525875347201477,Staten Island,40.59631257,-74.06712363,77,0,0
5,Arverne,20,2.5798439652180236,Queens,40.58914394,-73.79199233,166,1,0
6,Astoria,98,3.8198121411908774,Queens,40.76850859,-73.91565374,1295,1,-1
7,Astoria Heights,12,2.3693821196946767,Queens,40.77031739,-73.89467996,71,0,0
8,Auburndale,18,2.8133554045006157,Queens,40.76172955,-73.79176244,32,1,0
9,Bath Beach,51,3.5748594216511407,Brooklyn,40.5995187,-73.99875221,605,1,-1
10,Battery Park City,70,3.6010553947780672,Manhattan,40.71193198,-74.01686931,135,1,0
11,Bay Ridge,83,3.7098775373556485,Brooklyn,40.62580107,-74.03062069,204,1,0
12,Bay Terrace,45,3.3521154376990387,Queens,40.78284281,-73.77680223,12,1,0
13,Bay Terrace,45,3.3521154376990387,Staten Island,40.55398801,-74.13916622,37,1,0
14,Baychester,18,2.8133554045006153,Bronx,40.86685811,-73.83579759999998,111,1,0
15,Bayside,72,3.770002577370129,Queens,40.76604063,-73.77427363,39,1,0
16,Bayswater,2,0.6931471805599453,Queens,40.61132169,-73.76596781,8,1,-1
17,Bedford Park,37,2.922362597943615,Bronx,40.87018516,-73.88551218,1397,0,-1
18,Bedford Stuyvesant,29,3.0624332675559938,Brooklyn,40.68723161,-73.94178489,1040,1,-1
19,Beechhurst,13,2.5649493574615376,Queens,40.7927814,-73.80436452,10,0,0
20,Bellaire,13,2.458311329683084,Queens,40.73301404,-73.73889199,22,1,0
21,Belle Harbor,17,2.3947004058583343,Queens,40.57615557,-73.8540175,16,1,0
22,Bellerose,18,2.736339051105066,Queens,40.72857318,-73.72012815,18,0,0
23,Belmont,100,3.3321221491214748,Bronx,40.8572771,-73.88845196,581,0,-1
24,Bensonhurst,33,3.0708592680915516,Brooklyn,40.6110089,-73.99517998,95,0,0
25,Bergen Beach,6,1.5607104090414063,Brooklyn,40.61514955,-73.89855634,2,1,0
26,Blissville,20,2.7184734013300127,Queens,40.73725072,-73.93244235,72,1,0
27,Bloomfield,4,1.3862943611198906,Staten Island,40.60577868,-74.18725638,3,1,0
28,Boerum Hill,91,3.92515887572433,Brooklyn,40.68568291,-73.98374824,708,1,1
29,Borough Park,19,2.433698951385429,Brooklyn,40.63313051,-73.99049823,58,0,0
30,Breezy Point,6,1.242453324894,Queens,40.55740129,-73.92551197,1,1,0
31,Briarwood,9,2.1972245773362196,Queens,40.71093547,-73.81174822,40,1,0
32,Brighton Beach,43,3.304210647694502,Brooklyn,40.57682507,-73.96509449,251,1,0
33,Broad Channel,5,1.6094379124341005,Queens,40.60302658,-73.82005489,24,0,0
34,Broadway Junction,14,2.4410152780267023,Brooklyn,40.67786105,-73.90331685,531,1,0
35,Bronxdale,14,2.5400363038209806,Bronx,40.85272298,-73.86172578,156,0,0
36,Brooklyn Heights,100,4.022655533650166,Brooklyn,40.69586372,-73.99378225,240,1,1
37,Brookville,1,0.0,Queens,40.66000323,-73.75175311,54,1,2
38,Brownsville,19,2.7255503958317204,Brooklyn,40.66394994,-73.91023536,600,1,0
39,Bulls Head,43,3.3621587092469762,Staten Island,40.6095918,-74.15940949,35,0,0
40,Bushwick,70,3.5317757061788493,Brooklyn,40.69811611,-73.92525797,235,1,0
41,Butler Manor,6,1.3296613488547582,Staten Island,40.50608165,-74.2295035,10,1,0
42,Cambria Heights,10,2.1639556568820564,Queens,40.69277464,-73.73526874,70,1,0
43,Canarsie,6,1.7917594692280547,Brooklyn,40.63556433,-73.9020927,104,1,0
44,Carnegie Hill,86,3.7830889579973697,Manhattan,40.78268257,-73.95325647,469,1,1
45,Carroll Gardens,100,3.7183295191060273,Brooklyn,40.68054023,-73.99465373,147,1,1
46,Castle Hill,9,2.1972245773362196,Bronx,40.81901438,-73.8480273,202,0,0
47,Castleton Corners,17,2.5577938601077324,Staten Island,40.61333594,-74.11918059,32,0,0
48,Central Harlem,44,3.488737420421819,Manhattan,40.81597607,-73.94321113,1472,1,-1
49,Charleston,26,3.0981394963538036,Staten Island,40.53053148,-74.23215776,2,1,0
50,Chelsea,106,4.037980086602988,Manhattan,40.74403471,-74.00311633,1222,1,-1
51,Chelsea,106,4.037980086602988,Staten Island,40.59472603,-74.18956046,9,1,1
52,Chinatown,100,3.8189616058620373,Manhattan,40.71561842,-73.99427936,1374,1,-1
53,City Island,25,3.052520501533813,Bronx,40.8472467,-73.78648845,26,1,0
54,City Line,34,3.307104055517222,Brooklyn,40.67856996,-73.86797598,326,1,0
55,Civic Center,100,3.950974131155541,Manhattan,40.71522892,-74.0054153,2337,1,-1
56,Claremont Village,16,2.3066687254045313,Bronx,40.83142834,-73.90119903,716,0,-1
57,Clason Point,10,1.7480673485460891,Bronx,40.80655112,-73.85414416,31,3,0
58,Clifton,20,2.8571028374420018,Staten Island,40.61917845,-74.07264245,83,1,0
59,Clinton,100,3.861019527716336,Manhattan,40.75910089,-73.99611936,823,1,1
60,Clinton Hill,96,3.878466648538255,Brooklyn,40.69322942,-73.96784306,157,1,1
61,Co-op City,15,2.488327743368588,Bronx,40.87429419,-73.82993911,89,0,0
62,Cobble Hill,97,3.9638557786144,Brooklyn,40.68791972,-73.99856139,400,1,1
63,College Point,39,3.2101762968740615,Queens,40.78490275,-73.84304529,68,1,0
64,Concord,8,2.0794415416798357,Staten Island,40.60447319,-74.08402365,52,1,0
65,Concourse,29,2.8053739589572357,Bronx,40.83428381,-73.91558942,870,0,-1
66,Concourse Village,33,3.018553436736682,Bronx,40.82478049,-73.91584653,2589,1,-1
67,Coney Island,12,2.3693821196946767,Brooklyn,40.57429256,-73.98868296,486,1,0
68,Corona,21,2.8464803861348664,Queens,40.74238175,-73.85682497,204,1,0
69,Country Club,6,1.5607104090414063,Bronx,40.84424594,-73.82409927,35,1,0
70,Crown Heights,21,2.689535773467994,Brooklyn,40.67082918,-73.94329119,221,0,0
71,Cypress Hills,29,3.014630013724273,Brooklyn,40.68239101,-73.87661596,187,1,0
72,Ditmas Park,49,3.5806113599000415,Brooklyn,40.64367518,-73.96101312,485,1,-1
73,Dongan Hills,25,2.8997571011430576,Staten Island,40.58867295,-74.09639905,50,0,0
74,Douglaston,25,3.1079722759786073,Queens,40.7668461,-73.74249821,21,1,0
75,Downtown,100,4.104448765936519,Brooklyn,40.69084402,-73.98346337,1530,1,-1
76,Dumbo,55,3.5755067450649825,Brooklyn,40.70317633,-73.98875281,80,1,0
77,Dyker Heights,6,1.7917594692280547,Brooklyn,40.61921946,-74.01931376,96,1,0
78,East Elmhurst,15,2.5232109529528914,Queens,40.76407324,-73.86704148,69,1,0
79,East Flatbush,13,2.458311329683084,Brooklyn,40.64171777,-73.93610256,129,1,0
80,East Harlem,39,3.0749301214912217,Manhattan,40.79224947,-73.94418223,1707,1,-1
81,East New York,10,2.1639556568820564,Brooklyn,40.66992570000001,-73.88069864,1974,0,-1
82,East Tremont,21,2.780466368938681,Bronx,40.84269616,-73.88735618,497,0,0
83,East Village,100,3.988022695241913,Manhattan,40.72784678,-73.98222617,409,1,1
84,East Williamsburg,63,3.537791139658593,Brooklyn,40.70849241,-73.93885815,284,1,0
85,Eastchester,20,2.527519150841569,Bronx,40.88755568,-73.82780645,67,1,0
86,Edenwald,2,0.6931471805599453,Bronx,40.8845613,-73.84808272,1425,1,-1
87,Edgemere,15,2.615630577027551,Queens,40.59564181,-73.77613282,149,1,0
88,Edgewater Park,18,2.5052899909184174,Bronx,40.82198612,-73.81388514,42,0,0
89,Egbertville,4,1.3862943611198906,Staten Island,40.57911874,-74.12727241,7,1,0
90,Elm Park,8,2.0794415416798357,Staten Island,40.63014674,-74.14181679,100,0,0
91,Elmhurst,30,2.6698928079919373,Queens,40.74404851,-73.88165622,365,1,0
92,Eltingville,36,3.0904286581780616,Staten Island,40.54223075,-74.1643308,30,0,0
93,Emerson Hill,5,1.6094379124341005,Staten Island,40.60679439,-74.09776207,29,1,0
94,Erasmus,24,2.98296502921777,Brooklyn,40.64692607,-73.9481771,1241,1,-1
95,Far Rockaway,32,2.95649420717948,Queens,40.60313443,-73.75497968,1026,0,-1
